,alpha,fit_intercept ,l1_ratio,normalize,rank,rmse,time,tol
0,0.0001,TRUE,0.8,FALSE,1,0.505230631,8.820146084,0.0001
1,0.0001,TRUE,1,FALSE,2,0.505243913,9.11523207,0.1
2,0.01,TRUE,0.7,FALSE,3,0.509857847,3.037621419,0.1
3,1,TRUE,0,FALSE,4,0.509900969,9.2715319,0.01
4,1,TRUE,0.1,FALSE,5,0.512831514,2.031102498,0.1
5,0.0001,TRUE,0.8,TRUE,6,0.514760275,0.151402076,0.1
6,0.0001,FALSE,0.7,FALSE,7,0.515211382,8.138662974,0.001
7,0.0001,FALSE,0.3,TRUE,8,0.515213584,6.720360279,0.0001
8,0.001,FALSE,0.5,TRUE,9,0.515537657,6.496715705,0.0001
9,0.001,FALSE,1,TRUE,10,0.515726808,8.880857229,0.01
10,0.0001,TRUE,0.6,TRUE,11,0.516024258,0.145375888,0.1
11,0.01,FALSE,0.3,FALSE,12,0.52120332,7.901342233,0.001
12,0.01,FALSE,0.4,FALSE,13,0.521952373,6.83948946,0.0001
13,0.01,FALSE,0.6,TRUE,14,0.523585806,7.353030443,0.001
14,0.01,FALSE,0.6,FALSE,14,0.523585806,8.246548096,0.01
15,0.01,FALSE,1,TRUE,16,0.526453593,5.954992771,0.0001
16,1,TRUE,0.6,FALSE,17,0.530892143,1.427457571,0.001
17,1,TRUE,0.9,FALSE,18,0.532915083,2.017735879,0.001
18,10,TRUE,0.1,FALSE,19,0.53378452,1.636607885,0.01
19,10,TRUE,0.2,FALSE,20,0.538538195,1.464639346,0.001
20,10,TRUE,1,FALSE,21,0.538896009,0.676714818,0.0001
21,10,TRUE,0.9,FALSE,22,0.538904918,0.432826201,0.1
22,100,TRUE,0.6,FALSE,23,0.539074388,0.200291157,0.001
23,100,TRUE,0.9,FALSE,24,0.539153769,0.119371335,0.1
24,1,TRUE,0,TRUE,25,0.541245295,9.403874874,0.1
25,0.1,TRUE,0.3,TRUE,26,0.541251011,0.131117503,0.001
26,10,TRUE,0.7,TRUE,26,0.541251011,0.127416452,0.0001
27,0.1,TRUE,0.9,TRUE,26,0.541251011,0.129450321,0.01
28,100,TRUE,0.9,TRUE,26,0.541251011,0.127299388,0.01
29,1,TRUE,0.7,TRUE,26,0.541251011,0.129906734,0.01
30,100,TRUE,0.8,TRUE,26,0.541251011,0.128003836,0.01
31,0.01,TRUE,0.3,TRUE,26,0.541251011,0.116195281,0.01
32,1,TRUE,0.4,TRUE,26,0.541251011,0.12674427,0.001
33,1,TRUE,1,TRUE,26,0.541251011,0.130163511,0.0001
34,0.1,TRUE,0.8,TRUE,26,0.541251011,0.111318191,0.01
35,0.1,FALSE,0.8,FALSE,36,0.639999764,6.99917992,0.001
36,0.1,FALSE,1,TRUE,37,0.668574272,6.91111962,0.001
37,0.01,FALSE,1,TRUE,38,0.680876042,0.126612663,0.1
38,0.001,FALSE,0.4,TRUE,39,0.681768429,0.127608458,0.1
39,0.001,FALSE,0,FALSE,40,0.681966517,0.126423677,0.1
40,1,FALSE,0.2,TRUE,41,0.783547888,5.112672806,0.0001
41,1,FALSE,0.3,FALSE,42,0.785322506,6.764821053,0.001
42,1,FALSE,0.8,FALSE,43,0.798241636,3.021836122,0.01
43,1,FALSE,0.9,FALSE,44,0.802167947,4.640390952,0.0001
44,1,FALSE,1,FALSE,45,0.806566296,4.824100018,0.0001
45,10,FALSE,0.3,FALSE,46,0.912297947,2.757996082,0.0001
46,10,FALSE,0.7,TRUE,47,1.029068559,2.356092612,0.001
47,100,FALSE,0.2,TRUE,48,1.260695886,1.83556811,0.0001
48,100,FALSE,0.4,FALSE,49,1.286780906,0.599541028,0.01
49,100,FALSE,1,FALSE,50,1.454406083,0.377907435,0.01
