Round,batch_size,best epoch training_time,best_test_rmse,best_test_rmse_epoch,clip_gradients,decay_learning_rate,dropout_keep_prob,hidden_activation,hidden_layer_size,hidden_regularisation,hidden_regularizer,learning_rate,num_hidden_layers,optimizer
0,64,5s,0.507738709,18,True,False,1.0,<function sigmoid at 0x7fbb9a908c80>,400,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
1,128,14s,0.508230111,16,True,True,0.9,<function sigmoid at 0x7fbb9a908c80>,800,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
2,256,12s,0.509996899,18,False,True,1.0,<function sigmoid at 0x7fbb9a908c80>,800,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
3,256,16s,0.5125010720000001,18,True,True,0.7,<function sigmoid at 0x7fbb9a908c80>,800,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
4,64,135s,0.512867138,17,False,True,0.9,<function sigmoid at 0x000001BDB99E3D08>,200,0.5,<function l2_regularizer at 0x000001BDBC838598>,0.0001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
5,512,13s,0.5138525079999999,11,True,False,0.8,<function sigmoid at 0x7fbb9a908c80>,800,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
6,512,5s,0.516762839,10,False,True,1.0,<function sigmoid at 0x000001BDB99E3D08>,400,0.2,<function l2_regularizer at 0x000001BDBC838598>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
7,64,2s,0.517904499,19,False,False,0.9,<function sigmoid at 0x7fbb9a908c80>,25,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
8,64,2s,0.518489832,18,True,True,0.7,<function sigmoid at 0x7fbb9a908c80>,100,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
9,128,2s,0.51870495,5,True,True,0.6,<function sigmoid at 0x7fbb9a908c80>,100,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
10,128,18s,0.519039948,18,False,True,0.5,<function sigmoid at 0x7fbb9a908c80>,800,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
11,128,1s,0.519459686,19,True,False,0.8,<function sigmoid at 0x7fbb9a908c80>,50,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
12,512,6s,0.519461342,18,True,True,0.9,<function sigmoid at 0x0000021FF2F30D08>,200,1.0,<function l1_regularizer at 0x0000021FF5D941E0>,0.01,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
13,128,275s,0.52001936,8,True,False,0.5,<function sigmoid at 0x000001BDB99E3D08>,100,0.5,<function l1_regularizer at 0x000001BDBC8381E0>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
14,256,1s,0.520382985,11,False,False,1.0,<function sigmoid at 0x7fbb9a908c80>,25,0.5,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
15,256,3s,0.5204944,18,True,False,0.6,<function sigmoid at 0x0000021FF2F30D08>,200,0.2,<function l1_regularizer at 0x0000021FF5D941E0>,0.01,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
16,256,11s,0.5208972829999999,17,False,True,0.7,<function sigmoid at 0x000001C2CB000F28>,400,0.5,<function l1_regularizer at 0x000001C2CDE43378>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
17,256,11s,0.5208972829999999,17,False,True,0.7,<function sigmoid at 0x000001C2CB000F28>,400,0.5,<function l1_regularizer at 0x000001C2CDE43378>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
18,512,0s,0.521492234,18,True,False,0.9,<function sigmoid at 0x7fbb9a908c80>,50,0.5,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
19,512,0s,0.521700176,18,False,True,0.9,<function sigmoid at 0x7fbb9a908c80>,50,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
20,256,91s,0.521712149,6,True,True,1.0,<function relu at 0x000001C2CB1B1840>,800,0.2,<function l1_regularizer at 0x000001C2CDE43378>,0.01,6,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
21,256,91s,0.521712149,6,True,True,1.0,<function relu at 0x000001C2CB1B1840>,800,0.2,<function l1_regularizer at 0x000001C2CDE43378>,0.01,6,<class 'tensorflow.python.training.gradient_descent.GradientDescentOptimizer'>
22,512,11s,0.522344516,15,True,False,0.5,<function sigmoid at 0x7fbb9a908c80>,800,0.5,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
23,64,121s,0.523093034,14,True,True,0.9,<function sigmoid at 0x000001BDB99E3D08>,25,0.1,<function l2_regularizer at 0x000001BDBC838598>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
24,128,2s,0.523175238,16,False,False,0.6,<function sigmoid at 0x7fbb9a908c80>,200,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
25,128,1s,0.5242112489999999,15,False,False,0.7,<function sigmoid at 0x7fbb9a908c80>,25,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
26,256,1s,0.5248146929999999,19,True,True,0.8,<function sigmoid at 0x7fbb9a908c80>,100,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
27,256,3s,0.527136065,19,True,False,0.7,<function sigmoid at 0x000001C2CB000F28>,25,1.0,<function l1_regularizer at 0x000001C2CDE43378>,0.001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
28,256,3s,0.527136065,19,True,False,0.7,<function sigmoid at 0x000001C2CB000F28>,25,1.0,<function l1_regularizer at 0x000001C2CDE43378>,0.001,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
29,512,1s,0.527320915,19,True,True,1.0,<function relu at 0x7fbb9a7f8c80>,100,0.5,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,5,<class 'tensorflow.python.training.adam.AdamOptimizer'>
30,512,246s,0.527779536,15,True,True,1.0,<function softplus at 0x000001BDB9B75C80>,800,0.2,<function l1_regularizer at 0x000001BDBC8381E0>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
31,128,9s,0.527813169,3,True,True,1.0,<function softplus at 0x7fbb9a7fb378>,400,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,6,<class 'tensorflow.python.training.adam.AdamOptimizer'>
32,128,3s,0.52809725,12,True,True,0.8,<function softplus at 0x7fbb9a7fb378>,400,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
33,256,1s,0.528260426,19,True,True,1.0,<function relu at 0x7fbb9a7f8c80>,25,1.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
34,128,2s,0.528794357,10,True,True,0.9,<function relu at 0x7fbb9a7f8c80>,100,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
35,64,2s,0.528826407,18,True,True,0.8,<function relu at 0x7fbb9a7f8c80>,100,1.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.001,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
36,256,1s,0.528887498,18,True,False,0.5,<function softplus at 0x7fbb9a7fb378>,200,2.0,<function l1_regularizer at 0x7fbb6a5b7400>,0.001,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
37,64,2s,0.529604137,17,False,False,0.7,<function sigmoid at 0x7fbb9a908c80>,200,0.1,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
38,512,0s,0.52976308,13,True,True,0.7,<function relu at 0x7fbb9a7f8c80>,50,0.2,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,3,<class 'tensorflow.python.training.adam.AdamOptimizer'>
39,512,3s,0.529829945,16,True,True,0.5,<function softplus at 0x7fbb9a7fb378>,800,0.1,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,1,<class 'tensorflow.python.training.adam.AdamOptimizer'>
40,512,1s,0.5299414000000001,8,True,True,0.7,<function softplus at 0x7fbb9a7fb378>,200,0.2,<function l1_regularizer at 0x7fbb6a5b7400>,0.01,2,<class 'tensorflow.python.training.adam.AdamOptimizer'>
41,256,1s,0.5301057339999999,17,True,False,0.5,<function elu at 0x7fbb9a7e8c80>,25,2.0,<function l2_regularizer at 0x7fbb6a5b7488>,0.01,4,<class 'tensorflow.python.training.adam.AdamOptimizer'>
