Round,max_depth,max_features,n_estimators,rmse,rmse_post_processed,training_time
0,4,sqrt,80,0.497524813,0.497524813,15.5s
1,64,sqrt,20,0.481410274,0.481410274,16.0s
2,64,log2,40,0.4762742149190093,0.4762742149190093,24.6s
3,8,auto,160,0.4837977252675068,0.4837977252675068,410.1s
4,64,sqrt,10,0.4945066437552361,0.4945066437552361,8.4s
5,4,sqrt,10,0.4983637452959157,0.4983637452959157,1.8s
6,8,sqrt,80,0.4858228092466469,0.4858228092466469,30.4s
7,4,log2,160,0.4980902717479341,0.4980902717479341,23.8s
8,4,sqrt,80,0.496611597920589,0.496611597920589,15.8s
9,32,log2,40,0.4751547583343914,0.4751547583343914,24.9s
10,32,log2,320,0.470730157323464,0.470730157323464,205.1s
11,32,auto,320,0.4717415309438603,0.4717415309438603,1890.7s
12,64,log2,10,0.4911289778290937,0.4911289778290937,6.9s
13,4,sqrt,20,0.4964967630077024,0.4964967630077024,4.3s
14,8,sqrt,40,0.4860640126193629,0.4860640126193629,17.6s
15,64,sqrt,20,0.4814726678732994,0.4814726678732994,18.9s
16,4,log2,160,0.4983220583662851,0.4983220583662851,18.7s
17,4,auto,20,0.4952715176784367,0.4952715176784367,23.0s
18,8,log2,10,0.4878751052146149,0.4878751052146149,1.8s
19,32,sqrt,80,0.4719279602337663,0.4719279602337663,49.5s
20,16,auto,160,0.4702459366531255,0.4702459366531255,806.4s
21,4,auto,80,0.4949569087737226,0.4949569087737226,103.2s
22,8,sqrt,320,0.4858699068505986,0.4858699068505986,109.8s
23,64,log2,20,0.4791187819460643,0.4791187819460643,12.9s
24,8,sqrt,160,0.4857934081261346,0.4857934081261346,54.4s
25,4,auto,320,0.4948506257048252,0.4948506257048252,421.1s
26,8,log2,160,0.4868371951931043,0.4868371951931043,40.1s
27,32,sqrt,20,0.4803719899145973,0.4803719899145973,16.7s
28,32,sqrt,160,0.4706057000329708,0.4706057000329708,141.1s
29,32,log2,20,0.4808580917751264,0.4808580917751264,12.5s
30,64,log2,20,0.4822185345536033,0.4822185345536033,12.0s
31,64,auto,320,0.4717525166467179,0.4717525166467179,1995.0s
32,16,log2,20,0.4757229744488821,0.4757229744488821,8.6s
33,4,sqrt,20,0.4971367718772758,0.4971367718772758,3.4s
34,64,log2,320,0.4707242901537186,0.4707242901537186,206.9s
35,16,sqrt,320,0.4687466241751978,0.4687466241751978,197.1s
36,32,log2,320,0.4703917304433677,0.4703917304433677,209.8s
37,30,sqrt,160,0.4710208542064913,0.4710208542064913,129.0s
38,60,sqrt,300,0.47047390991897425,0.47047390991897425,267.7s
39,16,sqrt,400,0.46848127731326866,0.46848127731326866,265.8s
40,50,sqrt,200,0.4707400388366935,0.4707400388366935,176.7s
41,50,sqrt,500,0.47040791574837665,0.47040791574837665,416.4s
