,rank,time,rmse,alpha,fit_intercept,normalize,solver,tol
0,1.0,0.11814022064208984,0.5050476726343768,0.01,True,False,auto,0.0001
1,2.0,0.1063384215037028,0.5050680726173907,0.001,True,False,cholesky,0.01
2,3.0,0.10778260231018066,0.5050687594875048,0.1,True,False,auto,0.0001
3,3.0,0.1060643990834554,0.5050687594875048,0.1,True,False,cholesky,0.1
4,5.0,0.10744166374206543,0.5050756557588248,0.0001,True,False,auto,0.1
5,6.0,0.2184445063273112,0.5051176871874227,0.0001,True,True,svd,0.1
6,7.0,0.14904268582661948,0.5051415698018377,0.0001,True,True,sparse_cg,0.001
7,8.0,0.22185182571411133,0.5052254582355052,0.001,True,True,svd,0.0001
8,9.0,0.42430996894836426,0.5052495082781605,0.01,True,True,sag,0.01
9,10.0,0.1454594930013021,0.5052770576642852,0.001,True,True,lsqr,0.0001
10,11.0,0.6186135609944662,0.5059757706972497,0.1,True,True,sag,0.0001
11,12.0,0.10886653264363606,0.5079121725553208,0.001,True,True,sparse_cg,0.1
12,13.0,0.10536654790242513,0.5084196047810685,0.0001,False,False,cholesky,0.0001
13,13.0,0.1050717035929362,0.5084196047810685,0.0001,False,True,cholesky,0.1
14,13.0,0.10591435432434082,0.5084196047810685,0.0001,False,True,auto,0.01
15,16.0,0.20352689425150552,0.5084196047947457,0.0001,False,True,svd,0.0001
16,17.0,0.1046755313873291,0.5084222970754233,0.001,False,True,cholesky,0.01
17,17.0,0.10443766911824544,0.5084222970754233,0.001,False,False,auto,0.01
18,19.0,0.09604946772257487,0.5087287339019475,0.01,False,True,auto,0.001
19,20.0,0.11571240425109863,0.5093002522051294,1.0,True,True,auto,0.0001
20,21.0,0.11613202095031738,0.5102203460044811,0.1,False,True,cholesky,0.0001
21,21.0,0.11591641108194987,0.5102203460044811,0.1,False,True,auto,0.001
22,23.0,0.10493087768554688,0.5108158682147134,1.0,False,True,cholesky,0.001
23,24.0,0.20125246047973633,0.5108158682162194,1.0,False,False,svd,0.001
24,25.0,0.12482682863871257,0.511897718693313,0.01,True,False,sparse_cg,0.0001
25,26.0,0.10527873039245605,0.5130551670563528,100.0,False,True,cholesky,0.001
26,27.0,0.20358991622924805,0.5130551670572038,100.0,False,True,svd,0.0001
27,28.0,0.38292884826660156,0.5247851557591408,10.0,True,True,sag,0.001
28,29.0,0.21463847160339355,0.524785502974592,10.0,True,True,svd,0.1
29,29.0,0.11580363909403484,0.524785502974592,10.0,True,True,cholesky,0.0001
30,31.0,0.09835449854532878,0.5248232170380934,10.0,True,True,sparse_cg,0.1
31,32.0,0.10825816790262859,0.5295860315339541,0.001,True,False,sparse_cg,0.001
32,33.0,0.1038072903951009,0.538804032746163,0.1,True,False,lsqr,0.0001
33,34.0,0.10018459955851237,0.5388486543899723,0.1,True,False,sparse_cg,0.01
34,35.0,0.3246672948201497,0.538910031857659,0.0001,True,False,sag,0.1
35,36.0,0.10113843282063802,0.5391022488052919,0.0001,True,False,sparse_cg,0.1
36,37.0,0.09776123364766438,0.5394780222906913,0.0001,True,False,lsqr,0.01
37,38.0,0.10977967580159505,0.9132591033406873,1.0,False,False,lsqr,0.0001
38,38.0,0.10685237248738606,0.9132591033406873,1.0,False,True,lsqr,0.0001
39,40.0,0.11181473731994629,0.9132591033488681,0.1,False,False,lsqr,0.0001
40,41.0,0.10103042920430501,1.1688263528751701,100.0,False,True,sparse_cg,0.001
41,42.0,30.947518746058147,1.7309402645605438,0.01,False,False,sag,0.0001
42,43.0,3.13472048441569,2.043061762958938,0.001,False,False,sag,0.01
43,44.0,3.2837607860565186,2.043062260197208,10.0,False,False,sag,0.01
44,45.0,0.2189493179321289,2.0875650893761937,100.0,False,False,sag,0.1
45,46.0,0.10140117009480794,2.0923786456196103,10.0,False,False,lsqr,0.01
46,47.0,0.09780716896057129,2.092378645619613,0.1,False,False,lsqr,0.01
47,48.0,0.09814389546712239,2.0923786456209053,0.1,False,True,sparse_cg,0.01
48,49.0,0.09267560640970866,2.171453098629069,0.01,False,True,sparse_cg,0.1
49,50.0,0.07299415270487468,2.171453098629069,10.0,False,True,lsqr,0.1
